Неделя,Баллы
2018-04-01,77
2018-04-08,77
2018-04-15,76
2018-04-22,74
2018-04-29,86
2018-05-06,71
2018-05-13,68
2018-05-20,67
2018-05-27,78
2018-06-03,67
2018-06-10,70
2018-06-17,65
2018-06-24,68
2018-07-01,64
2018-07-08,71
2018-07-15,69
2018-07-22,71
2018-07-29,75
2018-08-05,76
2018-08-12,85
2018-08-19,100
2018-08-26,80
2018-09-02,72
2018-09-09,75
2018-09-16,86
2018-09-23,86
2018-09-30,81
2018-10-07,79
2018-10-14,80
2018-10-21,80
2018-10-28,86
2018-11-04,83
2018-11-11,88
2018-11-18,89
2018-11-25,79
2018-12-02,75
2018-12-09,73
2018-12-16,69
2018-12-23,70
2018-12-30,71
2019-01-06,77
2019-01-13,73
2019-01-20,73
2019-01-27,74
2019-02-03,73
2019-02-10,79
2019-02-17,75
2019-02-24,74
2019-03-03,72
2019-03-10,79
2019-03-17,73
2019-03-24,76
2019-03-31,74
2019-04-07,79
2019-04-14,68
2019-04-21,70
2019-04-28,75
2019-05-05,73
2019-05-12,70
2019-05-19,70
2019-05-26,79
2019-06-02,66
2019-06-09,66
2019-06-16,64
2019-06-23,71
2019-06-30,71
2019-07-07,67
2019-07-14,72
2019-07-21,73
2019-07-28,72
2019-08-04,83
2019-08-11,78
2019-08-18,77
2019-08-25,78
2019-09-01,72
2019-09-08,69
2019-09-15,80
2019-09-22,78
2019-09-29,73
2019-10-06,77
2019-10-13,74
2019-10-20,73
2019-10-27,81
2019-11-03,86
2019-11-10,75
2019-11-17,75
2019-11-24,74
2019-12-01,73
2019-12-08,74
2019-12-15,67
2019-12-22,64
2019-12-29,64
2020-01-05,70
2020-01-12,68
2020-01-19,67
2020-01-26,68
2020-02-02,69
2020-02-09,61
2020-02-16,74
2020-02-23,67
2020-03-01,69
2020-03-08,65
2020-03-15,56
2020-03-22,53
2020-03-29,43
2020-04-05,48
2020-04-12,48
2020-04-19,52
2020-04-26,60
2020-05-03,69
2020-05-10,63
2020-05-17,69
2020-05-24,67
2020-05-31,69
2020-06-07,78
2020-06-14,78
2020-06-21,72
2020-06-28,71
2020-07-05,69
2020-07-12,64
2020-07-19,64
2020-07-26,66
2020-08-02,70
2020-08-09,77
2020-08-16,78
2020-08-23,82
2020-08-30,79
2020-09-06,75
2020-09-13,76
2020-09-20,73
2020-09-27,74
2020-10-04,71
2020-10-11,79
2020-10-18,76
2020-10-25,75
2020-11-01,74
2020-11-08,74
2020-11-15,78
2020-11-22,77
2020-11-29,74
2020-12-06,74
2020-12-13,67
2020-12-20,70
2020-12-27,62
2021-01-03,81
2021-01-10,68
2021-01-17,68
2021-01-24,71
2021-01-31,62
2021-02-07,71
2021-02-14,69
2021-02-21,73
2021-02-28,73
2021-03-07,73
2021-03-14,73
2021-03-21,80
2021-03-28,75
2021-04-04,66
2021-04-11,74
2021-04-18,67
2021-04-25,66
2021-05-02,74
2021-05-09,76
2021-05-16,69
2021-05-23,66
2021-05-30,67
2021-06-06,67
2021-06-13,64
2021-06-20,64
2021-06-27,59
2021-07-04,64
2021-07-11,64
2021-07-18,68
2021-07-25,68
2021-08-01,76
2021-08-08,77
2021-08-15,74
2021-08-22,81
2021-08-29,83
2021-09-05,79
2021-09-12,84
2021-09-19,82
2021-09-26,76
2021-10-03,67
2021-10-10,69
2021-10-17,72
2021-10-24,69
2021-10-31,78
2021-11-07,78
2021-11-14,80
2021-11-21,81
2021-11-28,73
2021-12-05,75
2021-12-12,70
2021-12-19,70
2021-12-26,66
2022-01-02,73
2022-01-09,63
2022-01-16,65
2022-01-23,66
2022-01-30,68
2022-02-06,71
2022-02-13,69
2022-02-20,59
2022-02-27,53
2022-03-06,59
2022-03-13,63
2022-03-20,65
2022-03-27,65
2022-04-03,62
2022-04-10,64
2022-04-17,70
2022-04-24,65
2022-05-01,65
2022-05-08,65
2022-05-15,64
2022-05-22,61
2022-05-29,67
2022-06-05,60
2022-06-12,68
2022-06-19,67
2022-06-26,60
2022-07-03,62
2022-07-10,57
2022-07-17,68
2022-07-24,72
2022-07-31,69
2022-08-07,67
2022-08-14,71
2022-08-21,74
2022-08-28,74
2022-09-04,74
2022-09-11,70
2022-09-18,62
2022-09-25,62
2022-10-02,64
2022-10-09,69
2022-10-16,67
2022-10-23,68
2022-10-30,81
2022-11-06,74
2022-11-13,70
2022-11-20,67
2022-11-27,63
2022-12-04,63
2022-12-11,63
2022-12-18,54
2022-12-25,52
2023-01-01,65
2023-01-08,61
2023-01-15,65
2023-01-22,59
2023-01-29,62
2023-02-05,68
2023-02-12,66
2023-02-19,64
2023-02-26,74
2023-03-05,65
2023-03-12,73
2023-03-19,70
2023-03-26,73
