date,value
2018-04-01,38
2018-04-08,39
2018-04-15,37
2018-04-22,36
2018-04-29,38
2018-05-06,35
2018-05-13,35
2018-05-20,37
2018-05-27,39
2018-06-03,40
2018-06-10,42
2018-06-17,40
2018-06-24,38
2018-07-01,37
2018-07-08,45
2018-07-15,45
2018-07-22,47
2018-07-29,45
2018-08-05,48
2018-08-12,45
2018-08-19,51
2018-08-26,46
2018-09-02,46
2018-09-09,45
2018-09-16,47
2018-09-23,48
2018-09-30,45
2018-10-07,45
2018-10-14,48
2018-10-21,47
2018-10-28,47
2018-11-04,49
2018-11-11,43
2018-11-18,58
2018-11-25,55
2018-12-02,59
2018-12-09,56
2018-12-16,66
2018-12-23,78
2018-12-30,60
2019-01-06,48
2019-01-13,44
2019-01-20,45
2019-01-27,50
2019-02-03,51
2019-02-10,58
2019-02-17,67
2019-02-24,56
2019-03-03,68
2019-03-10,51
2019-03-17,45
2019-03-24,52
2019-03-31,46
2019-04-07,46
2019-04-14,44
2019-04-21,43
2019-04-28,47
2019-05-05,43
2019-05-12,41
2019-05-19,48
2019-05-26,45
2019-06-02,49
2019-06-09,47
2019-06-16,54
2019-06-23,57
2019-06-30,54
2019-07-07,62
2019-07-14,61
2019-07-21,57
2019-07-28,61
2019-08-04,63
2019-08-11,60
2019-08-18,61
2019-08-25,63
2019-09-01,54
2019-09-08,57
2019-09-15,51
2019-09-22,56
2019-09-29,56
2019-10-06,59
2019-10-13,62
2019-10-20,53
2019-10-27,52
2019-11-03,58
2019-11-10,63
2019-11-17,66
2019-11-24,73
2019-12-01,66
2019-12-08,73
2019-12-15,75
2019-12-22,86
2019-12-29,78
2020-01-05,61
2020-01-12,58
2020-01-19,58
2020-01-26,59
2020-02-02,60
2020-02-09,71
2020-02-16,74
2020-02-23,73
2020-03-01,78
2020-03-08,62
2020-03-15,51
2020-03-22,41
2020-03-29,33
2020-04-05,34
2020-04-12,37
2020-04-19,41
2020-04-26,55
2020-05-03,48
2020-05-10,47
2020-05-17,51
2020-05-24,58
2020-05-31,61
2020-06-07,58
2020-06-14,67
2020-06-21,63
2020-06-28,60
2020-07-05,66
2020-07-12,69
2020-07-19,69
2020-07-26,67
2020-08-02,70
2020-08-09,77
2020-08-16,75
2020-08-23,66
2020-08-30,65
2020-09-06,63
2020-09-13,66
2020-09-20,63
2020-09-27,72
2020-10-04,67
2020-10-11,71
2020-10-18,65
2020-10-25,69
2020-11-01,76
2020-11-08,62
2020-11-15,71
2020-11-22,74
2020-11-29,71
2020-12-06,76
2020-12-13,88
2020-12-20,99
2020-12-27,97
2021-01-03,80
2021-01-10,64
2021-01-17,62
2021-01-24,72
2021-01-31,72
2021-02-07,81
2021-02-14,83
2021-02-21,92
2021-02-28,100
2021-03-07,88
2021-03-14,69
2021-03-21,63
2021-03-28,61
2021-04-04,68
2021-04-11,59
2021-04-18,64
2021-04-25,59
2021-05-02,63
2021-05-09,58
2021-05-16,58
2021-05-23,65
2021-05-30,64
2021-06-06,65
2021-06-13,63
2021-06-20,58
2021-06-27,67
2021-07-04,61
2021-07-11,71
2021-07-18,69
2021-07-25,65
2021-08-01,69
2021-08-08,75
2021-08-15,70
2021-08-22,70
2021-08-29,63
2021-09-05,72
2021-09-12,71
2021-09-19,67
2021-09-26,64
2021-10-03,65
2021-10-10,64
2021-10-17,57
2021-10-24,65
2021-10-31,65
2021-11-07,74
2021-11-14,69
2021-11-21,73
2021-11-28,64
2021-12-05,72
2021-12-12,73
2021-12-19,89
2021-12-26,93
2022-01-02,78
2022-01-09,64
2022-01-16,57
2022-01-23,59
2022-01-30,64
2022-02-06,65
2022-02-13,74
2022-02-20,72
2022-02-27,66
2022-03-06,88
2022-03-13,69
2022-03-20,64
2022-03-27,60
2022-04-03,64
2022-04-10,59
2022-04-17,61
2022-04-24,64
2022-05-01,62
2022-05-08,56
2022-05-15,60
2022-05-22,63
2022-05-29,66
2022-06-05,64
2022-06-12,67
2022-06-19,65
2022-06-26,66
2022-07-03,68
2022-07-10,69
2022-07-17,64
2022-07-24,64
2022-07-31,69
2022-08-07,71
2022-08-14,72
2022-08-21,75
2022-08-28,67
2022-09-04,62
2022-09-11,64
2022-09-18,62
2022-09-25,56
2022-10-02,64
2022-10-09,73
2022-10-16,68
2022-10-23,68
2022-10-30,76
2022-11-06,83
2022-11-13,79
2022-11-20,82
2022-11-27,79
2022-12-04,72
2022-12-11,81
2022-12-18,86
2022-12-25,93
2023-01-01,77
2023-01-08,64
2023-01-15,66
2023-01-22,68
2023-01-29,79
2023-02-05,70
2023-02-12,92
2023-02-19,96
2023-02-26,90
2023-03-05,98
2023-03-12,79
2023-03-19,72
2023-03-26,66
