Неделя,Баллы
2018-04-01,35
2018-04-08,34
2018-04-15,35
2018-04-22,34
2018-04-29,34
2018-05-06,31
2018-05-13,33
2018-05-20,35
2018-05-27,38
2018-06-03,35
2018-06-10,35
2018-06-17,34
2018-06-24,34
2018-07-01,37
2018-07-08,42
2018-07-15,43
2018-07-22,42
2018-07-29,43
2018-08-05,44
2018-08-12,43
2018-08-19,44
2018-08-26,41
2018-09-02,43
2018-09-09,43
2018-09-16,45
2018-09-23,44
2018-09-30,46
2018-10-07,45
2018-10-14,44
2018-10-21,43
2018-10-28,51
2018-11-04,47
2018-11-11,47
2018-11-18,53
2018-11-25,50
2018-12-02,55
2018-12-09,60
2018-12-16,64
2018-12-23,77
2018-12-30,65
2019-01-06,47
2019-01-13,40
2019-01-20,40
2019-01-27,41
2019-02-03,43
2019-02-10,50
2019-02-17,58
2019-02-24,55
2019-03-03,66
2019-03-10,47
2019-03-17,41
2019-03-24,42
2019-03-31,40
2019-04-07,42
2019-04-14,38
2019-04-21,34
2019-04-28,35
2019-05-05,34
2019-05-12,37
2019-05-19,36
2019-05-26,37
2019-06-02,38
2019-06-09,40
2019-06-16,41
2019-06-23,51
2019-06-30,46
2019-07-07,49
2019-07-14,48
2019-07-21,47
2019-07-28,49
2019-08-04,50
2019-08-11,56
2019-08-18,50
2019-08-25,51
2019-09-01,47
2019-09-08,47
2019-09-15,48
2019-09-22,48
2019-09-29,51
2019-10-06,50
2019-10-13,50
2019-10-20,50
2019-10-27,49
2019-11-03,52
2019-11-10,50
2019-11-17,58
2019-11-24,52
2019-12-01,61
2019-12-08,60
2019-12-15,71
2019-12-22,76
2019-12-29,79
2020-01-05,57
2020-01-12,49
2020-01-19,48
2020-01-26,49
2020-02-02,51
2020-02-09,60
2020-02-16,67
2020-02-23,61
2020-03-01,74
2020-03-08,62
2020-03-15,41
2020-03-22,35
2020-03-29,23
2020-04-05,23
2020-04-12,22
2020-04-19,26
2020-04-26,30
2020-05-03,31
2020-05-10,32
2020-05-17,37
2020-05-24,38
2020-05-31,44
2020-06-07,39
2020-06-14,43
2020-06-21,46
2020-06-28,48
2020-07-05,47
2020-07-12,50
2020-07-19,51
2020-07-26,51
2020-08-02,53
2020-08-09,55
2020-08-16,54
2020-08-23,56
2020-08-30,52
2020-09-06,53
2020-09-13,54
2020-09-20,53
2020-09-27,55
2020-10-04,52
2020-10-11,56
2020-10-18,50
2020-10-25,53
2020-11-01,58
2020-11-08,54
2020-11-15,55
2020-11-22,60
2020-11-29,57
2020-12-06,63
2020-12-13,75
2020-12-20,88
2020-12-27,93
2021-01-03,68
2021-01-10,53
2021-01-17,49
2021-01-24,51
2021-01-31,55
2021-02-07,63
2021-02-14,72
2021-02-21,85
2021-02-28,73
2021-03-07,80
2021-03-14,60
2021-03-21,59
2021-03-28,51
2021-04-04,48
2021-04-11,47
2021-04-18,45
2021-04-25,45
2021-05-02,56
2021-05-09,44
2021-05-16,44
2021-05-23,48
2021-05-30,53
2021-06-06,53
2021-06-13,51
2021-06-20,43
2021-06-27,49
2021-07-04,46
2021-07-11,48
2021-07-18,49
2021-07-25,54
2021-08-01,56
2021-08-08,60
2021-08-15,61
2021-08-22,60
2021-08-29,58
2021-09-05,61
2021-09-12,60
2021-09-19,61
2021-09-26,56
2021-10-03,59
2021-10-10,56
2021-10-17,55
2021-10-24,58
2021-10-31,63
2021-11-07,61
2021-11-14,63
2021-11-21,68
2021-11-28,67
2021-12-05,68
2021-12-12,76
2021-12-19,81
2021-12-26,100
2022-01-02,79
2022-01-09,58
2022-01-16,51
2022-01-23,53
2022-01-30,59
2022-02-06,59
2022-02-13,64
2022-02-20,63
2022-02-27,55
2022-03-06,83
2022-03-13,52
2022-03-20,43
2022-03-27,51
2022-04-03,50
2022-04-10,45
2022-04-17,44
2022-04-24,48
2022-05-01,53
2022-05-08,52
2022-05-15,53
2022-05-22,53
2022-05-29,51
2022-06-05,54
2022-06-12,54
2022-06-19,58
2022-06-26,57
2022-07-03,55
2022-07-10,61
2022-07-17,60
2022-07-24,59
2022-07-31,61
2022-08-07,64
2022-08-14,63
2022-08-21,62
2022-08-28,58
2022-09-04,60
2022-09-11,57
2022-09-18,53
2022-09-25,49
2022-10-02,60
2022-10-09,65
2022-10-16,61
2022-10-23,61
2022-10-30,63
2022-11-06,62
2022-11-13,62
2022-11-20,71
2022-11-27,64
2022-12-04,66
2022-12-11,62
2022-12-18,74
2022-12-25,86
2023-01-01,72
2023-01-08,60
2023-01-15,52
2023-01-22,59
2023-01-29,62
2023-02-05,70
2023-02-12,72
2023-02-19,86
2023-02-26,72
2023-03-05,82
2023-03-12,63
2023-03-19,62
2023-03-26,60
